Rank,Player,,,
,Dan Burn,,,
,,,,
,ENG,,,
,DF,,,
718,,0,0,59
,Denis Visinsky,,,
,,,,
,CZE,,,
,FW,,,
719,,0,0,59
,Alan Minda,,,
,,,,
,ECU,,,
,MF,,,
720,,0,0,59
,Lyle Foster,,,
,,,,
,RSA,,,
,FW,,,
721,,0,0,61
,Kojo Peprah Oppong,,,
,,,,
,GHA,,,
,DF,,,
722,,0,0,61
,Mathieu Choiniere,,,
,,,,
,CAN,,,
,MF,,,
723,,0,0,61
,Brian Rodriguez,,,
,,,,
,URU,,,
,FW,,,
724,,0,0,62
,Cedric Itten,,,
,,,,
,SUI,,,
,FW,,,
725,,0,0,62
,Prince Adu,,,
,,,,
,GHA,,,
,FW,,,
726,,0,0,62
,Marko Farji,,,
,,,,
,IRQ,,,
,FW,,,
727,,0,0,64
,Kim Jingyu,,,
,,,,
,KOR,,,
,MF,,,
728,,0,0,64
,Alex Arce,,,
,,,,
,PAR,,,
,FW,,,
729,,0,0,65
,Igor Thiago,,,
,,,,
,BRA,,,
,FW,,,
730,,0,0,65
,Ollie Watkins,,,
,,,,
,ENG,,,
,FW,,,
731,,0,0,66
,Firas Chaouat,,,
,,,,
,TUN,,,
,FW,,,
732,,0,0,66
,Waldemar Anton,,,
,,,,
,GER,,,
,DF,,,
733,,0,0,67
,Mathew Leckie,,,
,,,,
,AUS,,,
,FW,,,
734,,0,0,68
,Dominique Simon,,,
,,,,
,HAI,,,
,MF,,,
735,,0,0,68
,Quinten Timber,,,
,,,,
,NED,,,
,MF,,,
736,,0,0,69
,Besfort Zeneli,,,
,,,,
,SWE,,,
,MF,,,
737,,0,0,69
,Ibrahima Konate,,,
,,,,
,FRA,,,
,DF,,,
738,,0,0,69
,Alexandro Maidana,,,
,,,,
,PAR,,,
,DF,,,
739,,0,0,69
,Joris Kayembe,,,
,,,,
,COD,,,
,DF,,,
740,,0,0,69
,Telmo Arcanjo,,,
,,,,
,CPV,,,
,MF,,,
742,,0,0,71
,Sultan Mandash,,,
,,,,
,KSA,,,
,FW,,,
743,,0,0,71
,Henrik Falchener,,,
,,,,
,NOR,,,
,DF,,,
744,,0,0,71
,Luka Vuskovic,,,
,,,,
,CRO,,,
,DF,,,
747,,0,0,73
,Danilo Santos,,,
,,,,
,BRA,,,
,MF,,,
748,,0,0,73
,Hossam Abdelmaguid,,,
,,,,
,EGY,,,
,DF,,,
749,,0,0,74
,Kim Moonhwan,,,
,,,,
,KOR,,,
,DF,,,
750,,0,0,74
,Ayoub El Kaabi,,,
,,,,
,MAR,,,
,FW,,,
751,,0,0,75
,Mohammad Abualnadi,,,
,,,,
,JOR,,,
,DF,,,
752,,0,0,75
,Kristian Thorstvedt,,,
,,,,
,NOR,,,
,MF,,,
753,,0,0,75
,Jason Geria,,,
,,,,
,AUS,,,
,DF,,,
755,,0,0,75
,Oston Urunov,,,
,,,,
,UZB,,,
,MF,,,
756,,0,0,76
,Ruben Neves,,,
,,,,
,POR,,,
,MF,,,
757,,0,0,76
,Azarias Londono,,,
,,,,
,PAN,,,
,FW,,,
758,,0,0,76
,Diego Moreira,,,
,,,,
,BEL,,,
,MF,,,
759,,0,0,78
,Ali Azaizeh,,,
,,,,
,JOR,,,
,FW,,,
760,,0,0,78
,Diogo Dalot,,,
,,,,
,POR,,,
,DF,,,
761,,0,0,79
,Aaron Hickey,,,
,,,,
,SCO,,,
,DF,,,
762,,0,0,79
,Jesse Randall,,,
,,,,
,NZL,,,
,FW,,,
765,,0,0,81
,Kai Trewin,,,
,,,,
,AUS,,,
,DF,,,
766,,0,0,81
,Nico Paz,,,
,,,,
,ARG,,,
,FW,,,
767,,0,0,81
,Andrej Kramaric,,,
,,,,
,CRO,,,
,FW,,,
768,,0,0,82
,Brenden Aaronson,,,
,,,,
,USA,,,
,FW,,,
769,,0,0,83
,Hamza Abdelkarim,,,
,,,,
,EGY,,,
,FW,,,
770,,0,0,83
,Yeremy Pino,,,
,,,,
,ESP,,,
,FW,,,
771,,0,0,84
,Zizo,,,
,,,,
,EGY,,,
,FW,,,
772,,0,0,85
,Jeremy Antonisse,,,
,,,,
,CUW,,,
,FW,,,
774,,0,0,85
,Gavi,,,
,,,,
,ESP,,,
,MF,,,
775,,0,0,85
,Cecilio Waterman,,,
,,,,
,PAN,,,
,FW,,,
776,,0,0,85
,Obed Vargas,,,
,,,,
,MEX,,,
,MF,,,
780,,0,0,87
,Ardon Jashari,,,
,,,,
,SUI,,,
,MF,,,
781,,0,0,87
,Guillermo Martinez,,,
,,,,
,MEX,,,
,FW,,,
782,,0,0,88
,Nishan Velupillay,,,
,,,,
,AUS,,,
,FW,,,
784,,0,0,88
,Abdullah Alhamddan,,,
,,,,
,KSA,,,
,FW,,,
785,,0,0,89
,Munaf Younus,,,
,,,,
,IRQ,,,
,DF,,,
786,,0,0,89
,Luca Jaquez,,,
,,,,
,SUI,,,
,DF,,,
787,,0,0,89
,Santiago Arias,,,
,,,,
,COL,,,
,DF,,,
788,,0,0,89
,Ivan Toney,,,
,,,,
,ENG,,,
,FW,,,
789,,0,0,90
,Timothy Weah,,,
,,,,
,USA,,,
,FW,,,
791,,0,0,90
,Garry Rodrigues,,,
,,,,
,CPV,,,
,MF,,,
792,,0,0,90
,Jorge Gutierrez,,,
,,,,
,PAN,,,
,DF,,,
793,,0,0,90
,Ajdin Hrustic,,,
,,,,
,AUS,,,
,FW,,,
794,,0,0,90
,Odiljon Xamrobekov,,,
,,,,
,UZB,,,
,MF,,,
795,,0,0,91
,Mohamed Manai,,,
,,,,
,QAT,,,
,FW,,,
796,,0,0,92
,Alidu Seidu,,,
,,,,
,GHA,,,
,DF,,,
797,,0,0,93
,Gilson Benchimol,,,
,,,,
,CPV,,,
,FW,,,
800,,0,0,94
,Bazoumana Toure,,,
,,,,
,CIV,,,
,FW,,,
801,,0,0,94
,Pape Matar Sarr,,,
,,,,
,SEN,,,
,MF,,,
802,,0,0,95
,Antonio Sanabria,,,
,,,,
,PAR,,,
,FW,,,
803,,0,0,95
,Fabinho,,,
,,,,
,BRA,,,
,MF,,,
804,,0,0,95
,Armin Gigovic,,,
,,,,
,BIH,,,
,MF,,,
806,,0,0,97
,Oguz Aydin,,,
,,,,
,TUR,,,
,FW,,,
807,,0,0,97
,Ayumu Seko,,,
,,,,
,JPN,,,
,DF,,,
808,,0,0,98
,Sebastian Tounekti,,,
,,,,
,TUN,,,
,MF,,,
809,,0,0,98
,Fidel Escobar,,,
,,,,
,PAN,,,
,DF,,,
810,,0,0,99
,Deiver Machado,,,
,,,,
,COL,,,
,DF,,,
811,,0,0,99
,Wagner Pina,,,
,,,,
,CPV,,,
,DF,,,
812,,0,0,99
,Stepan Chaloupek,,,
,,,,
,CZE,,,
,DF,,,
813,,0,0,99
,Tsuyoshi Watanabe,,,
,,,,
,JPN,,,
,DF,,,
814,,0,0,100
,David Doudera,,,
,,,,
,CZE,,,
,DF,,,
815,,0,0,100
,Exequiel Palacios,,,
,,,,
,ARG,,,
,MF,,,
817,,0,0,100
,Egil Selvik,,,
,,,,
,NOR,,,
,GK,,,
818,,0,0,100
,Ousmane Diomande,,,
,,,,
,CIV,,,
,DF,,,
818,,0,0,100
,Christopher Operi,,,
,,,,
,CIV,,,
,DF,,,
820,,0,0,100
,Riechedly Bazoer,,,
,,,,
,CUW,,,
,DF,,,
821,,0,0,100
,Tomas Araujo,,,
,,,,
,POR,,,
,DF,,,
822,,0,0,100
,Mouhib Chamakh,,,
,,,,
,TUN,,,
,GK,,,
823,,0,0,100
,Joe Scally,,,
,,,,
,USA,,,
,DF,,,
824,,0,0,100
,Pervis Estupinan,,,
,,,,
,ECU,,,
,DF,,,
825,,0,0,100
,Oussama Benbot,,,
,,,,
,ALG,,,
,GK,,,
826,,0,0,101
,Nkosinathi Sibisi,,,
,,,,
,RSA,,,
,DF,,,
827,,0,0,101
,Zeki Amdouni,,,
,,,,
,SUI,,,
,FW,,,
828,,0,0,102
,Florian Grillitsch,,,
,,,,
,AUT,,,
,MF,,,
829,,0,0,102
,Dean Henderson,,,
,,,,
,ENG,,,
,GK,,,
830,,0,0,102
,Scott Mckenna,,,
,,,,
,SCO,,,
,DF,,,
831,,0,0,103
,Yunus Akgun,,,
,,,,
,TUR,,,
,FW,,,
832,,0,0,103
,Seko Fofana,,,
,,,,
,CIV,,,
,MF,,,
833,,0,0,103
,Ryan Thomas,,,
,,,,
,NZL,,,
,MF,,,
834,,0,0,104
,Ehsan Hajisafi,,,
,,,,
,IRN,,,
,DF,,,
835,,0,0,104
,Mohammad Ghorbani,,,
,,,,
,IRN,,,
,MF,,,
836,,0,0,104
,Nawaf Bu Washl,,,
,,,,
,KSA,,,
,DF,,,
837,,0,0,104
,Ozan Kabak,,,
,,,,
,TUR,,,
,DF,,,
837,,0,0,104
,Mark Mckenzie,,,
,,,,
,USA,,,
,DF,,,
837,,0,0,104
,Miles Robinson,,,
,,,,
,USA,,,
,DF,,,
837,,0,0,104
,Matt Turner,,,
,,,,
,USA,,,
,GK,,,
841,,0,0,105
,Frans Putros,,,
,,,,
,IRQ,,,
,DF,,,
842,,0,0,105
,Utkir Yusupov,,,
,,,,
,UZB,,,
,GK,,,
843,,0,0,105
,Yusuf Abdurisag,,,
,,,,
,QAT,,,
,FW,,,
844,,0,0,107
,Saleh Hardani,,,
,,,,
,IRN,,,
,DF,,,
845,,0,0,108
,Carney Chukwuemeka,,,
,,,,
,AUT,,,
,MF,,,
846,,0,0,108
,Shahriyar Moghanloo,,,
,,,,
,IRN,,,
,FW,,,
847,,0,0,108
,Jhon Cordoba,,,
,,,,
,COL,,,
,FW,,,
848,,0,0,112
,Jakhongir Urozov,,,
,,,,
,UZB,,,
,DF,,,
849,,0,0,112
,Ben Old,,,
,,,,
,NZL,,,
,MF,,,
850,,0,0,114
,Karim Boudiaf,,,
,,,,
,QAT,,,
,MF,,,
851,,0,0,114
,Ryan Christie,,,
,,,,
,SCO,,,
,MF,,,
852,,0,0,114
,Daniel Svensson,,,
,,,,
,SWE,,,
,DF,,,
853,,0,0,114
,Anis Hadj Moussa,,,
,,,,
,ALG,,,
,FW,,,
854,,0,0,114
,Marco Pasalic,,,
,,,,
,CRO,,,
,FW,,,
855,,0,0,115
,Miro Muheim,,,
,,,,
,SUI,,,
,DF,,,
856,,0,0,115
,Kieran Tierney,,,
,,,,
,SCO,,,
,DF,,,
857,,0,0,115
,Nicolas De La Cruz,,,
,,,,
,URU,,,
,MF,,,
858,,0,0,117
,Gustavo Caballero,,,
,,,,
,PAR,,,
,MF,,,
859,,0,0,117
,Jorgen Strand Larsen,,,
,,,,
,NOR,,,
,FW,,,
860,,0,0,117
,Santiago Gimenez,,,
,,,,
,MEX,,,
,FW,,,
861,,0,0,120
,Tyler Bindon,,,
,,,,
,NZL,,,
,DF,,,
862,,0,0,120
,Lee Taeseok,,,
,,,,
,KOR,,,
,DF,,,
863,,0,0,120
,Salih Ozcan,,,
,,,,
,TUR,,,
,MF,,,
864,,0,0,120
,Dostonbek Khamdamov,,,
,,,,
,UZB,,,
,MF,,,
865,,0,0,121
,Joao Paulo,,,
,,,,
,CPV,,,
,MF,,,
866,,0,0,121
,Samir El Mourabet,,,
,,,,
,MAR,,,
,MF,,,
867,,0,0,122
,Leon Goretzka,,,
,,,,
,GER,,,
,MF,,,
868,,0,0,123
,Hwang Heechan,,,
,,,,
,KOR,,,
,MF,,,
869,,0,0,123
,David Raum,,,
,,,,
,GER,,,
,DF,,,
870,,0,0,124
,Elias Saad,,,
,,,,
,TUN,,,
,FW,,,
871,,0,0,125
,Jaouen Hadjam,,,
,,,,
,ALG,,,
,DF,,,
872,,0,0,125
,Lee Jaesung,,,
,,,,
,KOR,,,
,MF,,,
873,,0,0,125
,Igor Matanovic,,,
,,,,
,CRO,,,
,FW,,,
874,,0,0,126
,Jacob Shaffelburg,,,
,,,,
,CAN,,,
,MF,,,
875,,0,0,126
,Ramiz Zerrouki,,,
,,,,
,ALG,,,
,MF,,,
876,,0,0,126
,Marcos Senesi,,,
,,,,
,ARG,,,
,DF,,,
877,,0,0,126
,Zaid Ismael,,,
,,,,
,IRQ,,,
,MF,,,
878,,0,0,127
,Amadou Onana,,,
,,,,
,BEL,,,
,MF,,,
879,,0,0,127
,Elye Wahi,,,
,,,,
,CIV,,,
,FW,,,
880,,0,0,128
,Warren Zaire Emery,,,
,,,,
,FRA,,,
,MF,,,
881,,0,0,129
,Louicius Deedson,,,
,,,,
,HAI,,,
,FW,,,
882,,0,0,130
,Jayden Adams,,,
,,,,
,RSA,,,
,MF,,,
883,,0,0,132
,Mert Muldur,,,
,,,,
,TUR,,,
,DF,,,
884,,0,0,133
,Bernardo Silva,,,
,,,,
,POR,,,
,MF,,,
885,,0,0,134
,Eren Elmali,,,
,,,,
,TUR,,,
,DF,,,
886,,0,0,134
,Homam Ahmed,,,
,,,,
,QAT,,,
,DF,,,
887,,0,0,134
,Lenny Joseph,,,
,,,,
,HAI,,,
,FW,,,
888,,0,0,135
,Ahmed Qasem,,,
,,,,
,IRQ,,,
,FW,,,
889,,0,0,136
,Kamaldeen Sulemana,,,
,,,,
,GHA,,,
,FW,,,
890,,0,0,137
,Angelo Preciado,,,
,,,,
,ECU,,,
,DF,,,
891,,0,0,137
,Lukas Provod,,,
,,,,
,CZE,,,
,MF,,,
892,,0,0,140
,Inaki Williams,,,
,,,,
,GHA,,,
,FW,,,
893,,0,0,140
,Assim Madibo,,,
,,,,
,QAT,,,
,MF,,,
894,,0,0,140
,Azizjon Ganiev,,,
,,,,
,UZB,,,
,MF,,,
895,,0,0,142
,Ismael Gharbi,,,
,,,,
,TUN,,,
,MF,,,
896,,0,0,142
,Jaroslav Zeleny,,,
,,,,
,CZE,,,
,DF,,,
897,,0,0,143
,Hicham Boudaoui,,,
,,,,
,ALG,,,
,MF,,,
898,,0,0,143
,Malo Gusto,,,
,,,,
,FRA,,,
,DF,,,
899,,0,0,143
,Raphinha,,,
,,,,
,BRA,,,
,FW,,,
900,,0,0,143
,Kerem Akturkoglu,,,
,,,,
,TUR,,,
,FW,,,
901,,0,0,144
,Kenny Mclean,,,
,,,,
,SCO,,,
,MF,,,
902,,0,0,144
,Ali Jasim,,,
,,,,
,IRQ,,,
,FW,,,
903,,0,0,145
,Teun Koopmeiners,,,
,,,,
,NED,,,
,MF,,,
904,,0,0,146
,Endrick,,,
,,,,
,BRA,,,
,FW,,,
905,,0,0,147
,Jesper Karlstrom,,,
,,,,
,SWE,,,
,MF,,,
906,,0,0,147
,Niko Sigur,,,
,,,,
,CAN,,,
,DF,,,
907,,0,0,148
,Jovane Cabral,,,
,,,,
,CPV,,,
,MF,,,
908,,0,0,149
,Ahmed Basil,,,
,,,,
,IRQ,,,
,GK,,,
909,,0,0,149
,Benjamin Nygren,,,
,,,,
,SWE,,,
,MF,,,
910,,0,0,152
,Cameron Burgess,,,
,,,,
,AUS,,,
,DF,,,
911,,0,0,152
,Tomas Soucek,,,
,,,,
,CZE,,,
,MF,,,
912,,0,0,152
,Mahmoud Almardi,,,
,,,,
,JOR,,,
,FW,,,
913,,0,0,153
,Ismail Yuksek,,,
,,,,
,TUR,,,
,MF,,,
914,,0,0,153
,Mohammed Abu Alshamat,,,
,,,,
,KSA,,,
,DF,,,
915,,0,0,154
,Hossein Kanani,,,
,,,,
,IRN,,,
,DF,,,
916,,0,0,154
,Jalal Hassan,,,
,,,,
,IRQ,,,
,GK,,,
917,,0,0,155
,Lawrence Ati Zigi,,,
,,,,
,GHA,,,
,GK,,,
918,,0,0,155
,Khojiakbar Alijonov,,,
,,,,
,UZB,,,
,DF,,,
919,,0,0,156
,Willy Semedo,,,
,,,,
,CPV,,,
,MF,,,
920,,0,0,158
,Mario Pasalic,,,
,,,,
,CRO,,,
,MF,,,
921,,0,0,160
,Che Adams,,,
,,,,
,SCO,,,
,FW,,,
922,,0,0,160
,Phillip Mwene,,,
,,,,
,AUT,,,
,DF,,,
923,,0,0,160
,Ismael Kone,,,
,,,,
,CAN,,,
,MF,,,
924,,0,0,162
,Rani Khedira,,,
,,,,
,TUN,,,
,MF,,,
925,,0,0,163
,Abdul Fatawu,,,
,,,,
,GHA,,,
,FW,,,
926,,0,0,163
,Ahmed Fathy,,,
,,,,
,QAT,,,
,MF,,,
927,,0,0,163
,Nathanael Mbuku,,,
,,,,
,COD,,,
,MF,,,
928,,0,0,163
,Francisco Conceicao,,,
,,,,
,POR,,,
,FW,,,
929,,0,0,163
,Odeh Fakhoury,,,
,,,,
,JOR,,,
,FW,,,
930,,0,0,164
,Nelson Semedo,,,
,,,,
,POR,,,
,DF,,,
931,,0,0,165
,Zaid Tahseen,,,
,,,,
,IRQ,,,
,DF,,,
932,,0,0,166
,Elisha Owusu,,,
,,,,
,GHA,,,
,MF,,,
933,,0,0,166
,Jassem Gaber,,,
,,,,
,QAT,,,
,DF,,,
934,,0,0,167
,Sultan Albrake,,,
,,,,
,QAT,,,
,DF,,,
935,,0,0,167
,Musab Aljuwayr,,,
,,,,
,KSA,,,
,MF,,,
936,,0,0,168
,Frantzdy Pierrot,,,
,,,,
,HAI,,,
,FW,,,
937,,0,0,169
,Rayan Cherki,,,
,,,,
,FRA,,,
,MF,,,
938,,0,0,169
,Tomas Holes,,,
,,,,
,CZE,,,
,DF,,,
939,,0,0,170
,Gabriel Avalos,,,
,,,,
,PAR,,,
,FW,,,
940,,0,0,170
,Ayoub Aloui,,,
,,,,
,QAT,,,
,DF,,,
941,,0,0,171
,Carlens Arcus,,,
,,,,
,HAI,,,
,DF,,,
942,,0,0,172
,Adam Hlozek,,,
,,,,
,CZE,,,
,FW,,,
943,,0,0,172
,Lukas Cerv,,,
,,,,
,CZE,,,
,MF,,,
944,,0,0,172
,Edouard Mendy,,,
,,,,
,SEN,,,
,GK,,,
945,,0,0,173
,Zeki Celik,,,
,,,,
,TUR,,,
,DF,,,
946,,0,0,173
,Callum Mccowatt,,,
,,,,
,NZL,,,
,MF,,,
947,,0,0,174
,Hussein Ali,,,
,,,,
,IRQ,,,
,DF,,,
948,,0,0,175
,Sofyan Amrabat,,,
,,,,
,MAR,,,
,MF,,,
949,,0,0,175
,Richard Rios,,,
,,,,
,COL,,,
,MF,,,
950,,0,0,176
,Jose Fajardo,,,
,,,,
,PAN,,,
,FW,,,
951,,0,0,176
,Liam Millar,,,
,,,,
,CAN,,,
,MF,,,
952,,0,0,176
,Michel Aebischer,,,
,,,,
,SUI,,,
,MF,,,
953,,0,0,177
,Edo Kayembe,,,
,,,,
,COD,,,
,MF,,,
954,,0,0,177
,Josko Gvardiol,,,
,,,,
,CRO,,,
,DF,,,
955,,0,0,177
,Ali Lajami,,,
,,,,
,KSA,,,
,DF,,,
956,,0,0,179
,Ferdi Kadioglu,,,
,,,,
,TUR,,,
,DF,,,
957,,0,0,180
,Cristian Volpato,,,
,,,,
,AUS,,,
,FW,,,
958,,0,0,180
,Jurien Gaari,,,
,,,,
,CUW,,,
,DF,,,
959,,0,0,180
,Nuno Da Costa,,,
,,,,
,CPV,,,
,MF,,,
960,,0,0,181
,Kalidou Koulibaly,,,
,,,,
,SEN,,,
,DF,,,
961,,0,0,181
,Yukinari Sugawara,,,
,,,,
,JPN,,,
,DF,,,
962,,0,0,182
,Iqraam Rayners,,,
,,,,
,RSA,,,
,FW,,,
963,,0,0,182
,Darwin Nunez,,,
,,,,
,URU,,,
,FW,,,
964,,0,0,182
,Mohamed Toure,,,
,,,,
,AUS,,,
,FW,,,
965,,0,0,183
,Jacob Italiano,,,
,,,,
,AUS,,,
,DF,,,
966,,0,0,183
,Elliot Stroud,,,
,,,,
,SWE,,,
,DF,,,
967,,0,0,183
,Lawrence Shankland,,,
,,,,
,SCO,,,
,FW,,,
968,,0,0,183
,Son Heungmin,,,
,,,,
,KOR,,,
,FW,,,
969,,0,0,184
,Relebohile Mofokeng,,,
,,,,
,RSA,,,
,FW,,,
970,,0,0,186
,Jiovany Ramos,,,
,,,,
,PAN,,,
,DF,,,
971,,0,0,187
,Cesar Blackman,,,
,,,,
,PAN,,,
,DF,,,
972,,0,0,187
,Laros Duarte,,,
,,,,
,CPV,,,
,MF,,,
973,,0,0,189
,Nathan Ake,,,
,,,,
,NED,,,
,DF,,,
974,,0,0,190
,Husam Abudahab,,,
,,,,
,JOR,,,
,DF,,,
975,,0,0,193
,Joshua Brenet,,,
,,,,
,CUW,,,
,DF,,,
976,,0,0,194
,Dodi Lukebakio,,,
,,,,
,BEL,,,
,FW,,,
977,,0,0,196
,Edin Dzeko,,,
,,,,
,BIH,,,
,FW,,,
978,,0,0,197
,Donyell Malen,,,
,,,,
,NED,,,
,FW,,,
979,,0,0,197
,Manuel Ugarte,,,
,,,,
,URU,,,
,MF,,,
980,,0,0,198
,Aymen Dahmen,,,
,,,,
,TUN,,,
,GK,,,
981,,0,0,198
,Jose Canale,,,
,,,,
,PAR,,,
,DF,,,
982,,0,0,198
,Dailon Livramento,,,
,,,,
,CPV,,,
,FW,,,
983,,0,0,199
,Patrik Schick,,,
,,,,
,CZE,,,
,FW,,,
984,,0,0,200
,Jacob Widell Zetterstrom,,,
,,,,
,SWE,,,
,GK,,,
985,,0,0,200
,Kristoffer Nordfeldt,,,
,,,,
,SWE,,,
,GK,,,
986,,0,0,201
,Ali Alhamadi,,,
,,,,
,IRQ,,,
,FW,,,
987,,0,0,201
,Steve Kapuadi,,,
,,,,
,COD,,,
,DF,,,
988,,0,0,202
,El Hadji Malick Diouf,,,
,,,,
,SEN,,,
,DF,,,
989,,0,0,203
,Behruzjon Karimov,,,
,,,,
,UZB,,,
,DF,,,
990,,0,0,203
,Abdullah Alkhaibari,,,
,,,,
,KSA,,,
,MF,,,
991,,0,0,203
,Grant Hanley,,,
,,,,
,SCO,,,
,DF,,,
992,,0,0,204
,Nathan Patterson,,,
,,,,
,SCO,,,
,DF,,,
993,,0,0,204
,Ben Gannon Doak,,,
,,,,
,SCO,,,
,FW,,,
994,,0,0,206
,Sherzod Nasrullaev,,,
,,,,
,UZB,,,
,DF,,,
995,,0,0,206
,Abduvohid Nematov,,,
,,,,
,UZB,,,
,GK,,,
996,,0,0,206
,Abdulla Abdullaev,,,
,,,,
,UZB,,,
,DF,,,
997,,0,0,207
,Philipp Lienhart,,,
,,,,
,AUT,,,
,DF,,,
998,,0,0,208
,Takehiro Tomiyasu,,,
,,,,
,JPN,,,
,DF,,,
999,,0,0,208
,Redouane Halhal,,,
,,,,
,MAR,,,
,DF,,,
1000,,0,0,208
,Josue Casimir,,,
,,,,
,HAI,,,
,FW,,,
1001,,0,0,208
,Hakan Calhanoglu,,,
,,,,
,TUR,,,
,MF,,,
1001,,0,0,208
,Merih Demiral,,,
,,,,
,TUR,,,
,DF,,,
1003,,0,0,208
,Jarell Quansah,,,
,,,,
,ENG,,,
,DF,,,
1004,,0,0,209
,Pavel Sulc,,,
,,,,
,CZE,,,
,FW,,,
1005,,0,0,210
,Zidane Iqbal,,,
,,,,
,IRQ,,,
,MF,,,
1006,,0,0,210
,Cedric Bakambu,,,
,,,,
,COD,,,
,FW,,,
1007,,0,0,210
,Silvan Widmer,,,
,,,,
,SUI,,,
,DF,,,
1008,,0,0,211
,Stjepan Radeljic,,,
,,,,
,BIH,,,
,DF,,,
1009,,0,0,211
,Federico Vinas,,,
,,,,
,URU,,,
,FW,,,
1010,,0,0,213
,Moteb Alharbi,,,
,,,,
,KSA,,,
,DF,,,
1011,,0,0,216
,Paik Seungho,,,
,,,,
,KOR,,,
,MF,,,
1012,,0,0,216
,Damian Bobadilla,,,
,,,,
,PAR,,,
,MF,,,
1013,,0,0,217
,Giuliano Simeone,,,
,,,,
,ARG,,,
,FW,,,
1014,,0,0,218
,Joao Felix,,,
,,,,
,POR,,,
,FW,,,
1015,,0,0,220
,Ngalayel Mukau,,,
,,,,
,COD,,,
,MF,,,
1016,,0,0,221
,Moise Bombito,,,
,,,,
,CAN,,,
,DF,,,
1017,,0,0,221
,Ivan Sunjic,,,
,,,,
,BIH,,,
,MF,,,
1018,,0,0,221
,Mohamed Amine Ben Hmida,,,
,,,,
,TUN,,,
,DF,,,
1019,,0,0,225
,Ao Tanaka,,,
,,,,
,JPN,,,
,MF,,,
1020,,0,0,226
,Brian Gutierrez,,,
,,,,
,MEX,,,
,MF,,,
1021,,0,0,227
,Sarpreet Singh,,,
,,,,
,NZL,,,
,MF,,,
