Rank,Player,,,
,IRQ,,,
,FW,,,
114,,1,0,130
,Helio Varela,,,
,,,,
,CPV,,,
,MF,,,
115,,1,0,145
,Oh Hyeongyu,,,
,,,,
,KOR,,,
,FW,,,
116,,1,0,152
,Nico Schlotterbeck,,,
,,,,
,GER,,,
,DF,,,
117,,1,0,155
,Giovanni Reyna,,,
,,,,
,USA,,,
,MF,,,
118,,1,0,160
,Brian Cipenga,,,
,,,,
,COD,,,
,FW,,,
119,,1,0,168
,Ante Budimir,,,
,,,,
,CRO,,,
,FW,,,
120,,1,0,171
,Gabriel Martinelli,,,
,,,,
,BRA,,,
,FW,,,
121,,1,0,184
,Leo Ostigard,,,
,,,,
,NOR,,,
,DF,,,
122,,1,0,200
,Omar Rekik,,,
,,,,
,TUN,,,
,DF,,,
123,,1,0,201
,Wilson Isidor,,,
,,,,
,HAI,,,
,FW,,,
124,,1,0,203
,Ibrahim Mbaye,,,
,,,,
,SEN,,,
,FW,,,
125,,1,0,204
,Michal Sadilek,,,
,,,,
,CZE,,,
,MF,,,
126,,1,0,204
,Nikola Vlasic,,,
,,,,
,CRO,,,
,MF,,,
127,,1,0,205
,Derrick Luckassen,,,
,,,,
,GHA,,,
,DF,,,
128,,1,0,208
,Mauricio,,,
,,,,
,PAR,,,
,MF,,,
129,,1,0,240
,Nilson Angulo,,,
,,,,
,ECU,,,
,FW,,,
130,,1,0,240
,Abbosbek Fayzullaev,,,
,,,,
,UZB,,,
,MF,,,
131,,1,0,242
,Junya Ito,,,
,,,,
,JPN,,,
,MF,,,
132,,1,0,253
,Livano Comenencia,,,
,,,,
,CUW,,,
,MF,,,
133,,1,0,255
,Thapelo Maseko,,,
,,,,
,RSA,,,
,FW,,,
134,,1,0,261
,Agustin Canobbio,,,
,,,,
,URU,,,
,MF,,,
135,,1,0,268
,Abdulelah Alamri,,,
,,,,
,KSA,,,
,DF,,,
136,,1,0,270
,Amine Gouiri,,,
,,,,
,ALG,,,
,FW,,,
137,,1,0,271
,Daizen Maeda,,,
,,,,
,JPN,,,
,MF,,,
138,,1,0,271
,Mohammad Mohebbi,,,
,,,,
,IRN,,,
,MF,,,
139,,1,0,273
,Marcus Holmgren Pedersen,,,
,,,,
,NOR,,,
,DF,,,
140,,1,0,277
,John Mcginn,,,
,,,,
,SCO,,,
,MF,,,
141,,1,0,283
,Romano Schmid,,,
,,,,
,AUT,,,
,MF,,,
142,,1,0,285
,Nestory Irankunda,,,
,,,,
,AUS,,,
,FW,,,
143,,1,0,289
,Nizar Alrashdan,,,
,,,,
,JOR,,,
,MF,,,
144,,1,0,297
,Ali Olwan,,,
,,,,
,JOR,,,
,FW,,,
145,,1,0,300
,Deroy Duarte,,,
,,,,
,CPV,,,
,MF,,,
146,,1,0,301
,Ladislav Krejci,,,
,,,,
,CZE,,,
,DF,,,
147,,1,0,301
,Teboho Mokoena,,,
,,,,
,RSA,,,
,MF,,,
148,,1,0,304
,Eldor Shomurodov,,,
,,,,
,UZB,,,
,FW,,,
149,,1,0,305
,Jamal Musiala,,,
,,,,
,GER,,,
,MF,,,
150,,1,0,306
,Finn Surman,,,
,,,,
,NZL,,,
,DF,,,
151,,1,0,307
,Caleb Yirenkyi,,,
,,,,
,GHA,,,
,MF,,,
152,,1,0,312
,Kerim Alajbegovic,,,
,,,,
,BIH,,,
,FW,,,
153,,1,0,313
,Arda Guler,,,
,,,,
,TUR,,,
,FW,,,
154,,1,0,324
,Sidny Lopes Cabral,,,
,,,,
,CPV,,,
,DF,,,
155,,1,0,344
,Martin Baturina,,,
,,,,
,CRO,,,
,MF,,,
156,,1,0,354
,Connor Metcalfe,,,
,,,,
,AUS,,,
,MF,,,
157,,1,0,357
,Antonio Nusa,,,
,,,,
,NOR,,,
,FW,,,
158,,1,0,360
,Leroy Sane,,,
,,,,
,GER,,,
,MF,,,
159,,1,0,362
,Rafik Belghali,,,
,,,,
,ALG,,,
,DF,,,
160,,1,0,366
,Fabian Ruiz,,,
,,,,
,ESP,,,
,MF,,,
161,,1,0,389
,Franck Kessie,,,
,,,,
,CIV,,,
,MF,,,
162,,1,0,389
,Kevin Pina,,,
,,,,
,CPV,,,
,MF,,,
163,,1,0,405
,Jhon Arias,,,
,,,,
,COL,,,
,MF,,,
164,,1,0,407
,Gonzalo Plata,,,
,,,,
,ECU,,,
,FW,,,
165,,1,0,412
,Marcel Sabitzer,,,
,,,,
,AUT,,,
,MF,,,
166,,1,0,412
,Kevin De Bruyne,,,
,,,,
,BEL,,,
,MF,,,
167,,1,0,425
,Casemiro,,,
,,,,
,BRA,,,
,MF,,,
168,,1,0,432
,Jan Paul Van Hecke,,,
,,,,
,NED,,,
,DF,,,
169,,1,0,444
,Stephen Eustaquio,,,
,,,,
,CAN,,,
,MF,,,
170,,1,0,447
,Nuno Mendes,,,
,,,,
,POR,,,
,DF,,,
171,,1,0,450
,Joao Neves,,,
,,,,
,POR,,,
,MF,,,
172,,1,0,533
,Yasser Ibrahim,,,
,,,,
,EGY,,,
,DF,,,
173,,1,0,534
,Issa Diop,,,
,,,,
,MAR,,,
,DF,,,
174,,1,0,673
,Granit Xhaka,,,
,,,,
,SUI,,,
,MF,,,
175,,1,0,685
,Cristian Romero,,,
,,,,
,ARG,,,
,DF,,,
176,,1,0,690
,Julian Alvarez,,,
,,,,
,ARG,,,
,FW,,,
177,,1,0,697
,Lamine Yamal,,,
,,,,
,ESP,,,
,FW,,,
178,,1,0,739
,Ezri Konsa,,,
,,,,
,ENG,,,
,DF,,,
179,,0,7,719
,Michael Olise,,,
,,,,
,FRA,,,
,FW,,,
180,,0,4,458
,Bruno Guimaraes,,,
,,,,
,BRA,,,
,MF,,,
181,,0,4,500
,Brahim Diaz,,,
,,,,
,MAR,,,
,FW,,,
182,,0,4,537
,Martin Odegaard,,,
,,,,
,NOR,,,
,MF,,,
183,,0,3,405
,Florian Wirtz,,,
,,,,
,GER,,,
,MF,,,
184,,0,3,476
,Roberto Alvarado,,,
,,,,
,MEX,,,
,FW,,,
185,,0,2,191
,Houssem Aouar,,,
,,,,
,ALG,,,
,MF,,,
186,,0,2,298
,Hannibal Mejbri,,,
,,,,
,TUN,,,
,MF,,,
187,,0,2,306
,Chris Wood,,,
,,,,
,NZL,,,
,FW,,,
188,,0,2,374
,Ryan Gravenberch,,,
,,,,
,NED,,,
,MF,,,
189,,0,2,392
,Joshua Kimmich,,,
,,,,
,GER,,,
,DF,,,
190,,0,2,396
,Nicolas Raskin,,,
,,,,
,BEL,,,
,MF,,,
191,,0,2,432
,Denzel Dumfries,,,
,,,,
,NED,,,
,DF,,,
192,,0,2,519
,Patrick Berg,,,
,,,,
,NOR,,,
,MF,,,
193,,0,2,535
,Dani Olmo,,,
,,,,
,ESP,,,
,FW,,,
194,,0,2,857
,Marc Cucurella,,,
,,,,
,ESP,,,
,DF,,,
195,,0,1,28
,Jose Manuel Lopez,,,
,,,,
,ARG,,,
,FW,,,
196,,0,1,33
,Dennis Hadzikadunic,,,
,,,,
,BIH,,,
,DF,,,
197,,0,1,44
,Tshepang Moremi,,,
,,,,
,RSA,,,
,FW,,,
198,,0,1,46
,Yannick Semedo,,,
,,,,
,CPV,,,
,MF,,,
199,,0,1,50
,Nadiem Amiri,,,
,,,,
,GER,,,
,MF,,,
200,,0,1,56
,Koki Ogawa,,,
,,,,
,JPN,,,
,FW,,,
201,,0,1,59
,Meschack Elia,,,
,,,,
,COD,,,
,FW,,,
202,,0,1,66
,Cucho Hernandez,,,
,,,,
,COL,,,
,FW,,,
203,,0,1,66
,Abdoulaye Seck,,,
,,,,
,SEN,,,
,DF,,,
204,,0,1,68
,Memphis Depay,,,
,,,,
,NED,,,
,FW,,,
205,,0,1,70
,Brandon Thomas Asante,,,
,,,,
,GHA,,,
,FW,,,
206,,0,1,77
,Takefusa Kubo,,,
,,,,
,JPN,,,
,MF,,,
207,,0,1,109
,Ernest Nuamah,,,
,,,,
,GHA,,,
,FW,,,
208,,0,1,138
,Kou Itakura,,,
,,,,
,JPN,,,
,DF,,,
209,,0,1,138
,Haissem Hassan,,,
,,,,
,EGY,,,
,FW,,,
210,,0,1,146
,Kevin Rodriguez,,,
,,,,
,ECU,,,
